,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
52,124,0.0029348185358060897,1.8983605245548012,0.001997592460525468,-0.0014208729771008728,0.0021365604159631177,0.0014668406669650256,0.0,0.0
26,65,0.0029616493842541643,0.6776836368330569,0.0014390270730309648,-0.001469435511061673,0.001500781289716409,0.0016029637878230225,0.0,0.0
8,10,0.002977841182475982,8.21239847409847,2.6281374769316022e-05,-1.9839579372456455e-05,0.0016498645840479552,0.0019209556858721917,0.0,0.0
71,195,0.0029818307357494522,188.57300419380724,-0.01874266936134567,-0.002732664923637661,0.019125304388955003,0.004468081999987138,0.01421133901867349,0.0
63,150,0.003018342983187098,5.238796498268231,0.00021306013301366643,-0.00035858629627976405,0.000373470325361148,0.0010756338079877118,0.0,0.0
44,112,0.003092780684288423,0.985769795829044,-0.0013334408820970842,0.001365276459868661,0.0015489558832536645,0.0014552228103142774,0.0,0.0
37,78,0.0031060618556130156,0.9959575445378038,0.0023162179460930014,-0.004424263284587948,0.00263123445912905,0.005366529958046164,0.0,0.00025883982730982164
41,95,0.0031073725519118922,0.5753877196767463,0.0016680004509977452,-0.00336473008615103,0.0017930777383205843,0.003536268310778907,0.0,0.0
89,247,0.003122306496076763,1145.1811186478237,0.003861048848632979,-0.0003676932059887159,0.004355703140330228,0.0012534914413205413,9.90446765418429e-05,0.0
60,145,0.0031456990753881793,3.148193487410935,0.003148355717645886,-0.0009828494870892576,0.003148355717645886,0.0009828494870892576,0.0,0.0
57,133,0.003182453201566436,3.2823443243927963,0.0002273631555487965,-0.0006051277825813638,0.000857271076609395,0.001586386368058385,0.0,0.0
84,240,0.0031892497138932907,1145.1811186478237,-0.00324000197205922,0.0006101453761457568,0.0034339194080584756,0.0012712200195170373,0.0001570148545834444,0.0
47,117,0.0032585357635816167,0.9869246605723883,-0.0014963770713312774,0.002484822426011469,0.0015806137511993343,0.002565802672070412,0.0,0.0
46,116,0.003291523363943152,0.9867138272147313,-0.0023118165790585467,0.0035067292481389453,0.002336289190497641,0.003512781999176865,0.0,0.00040367019643645224
58,138,0.0034677261457819893,3.296740536597924,0.00017331035409017947,-0.00048571259180842,0.002432062652254548,0.0028018577360455596,0.0,0.0
69,193,0.00347234600469737,186.82909915628994,0.028582711956349437,-0.004324942837695925,0.03137196792269302,0.004881794713698313,0.02461941385097585,0.0
53,125,0.003482426076967667,1.8995891166752976,0.00265275244411953,-0.0009329214978790124,0.00265275244411953,0.0009329214978790124,0.0,0.0
20,36,0.0036473851709995344,0.9648753456213095,-0.0027126729782537677,0.0005447395452964439,0.0027315156956654735,0.0005447395452964439,0.0,0.0
25,60,0.0036733574350201626,0.6762757941930976,0.00042774141777391484,-0.00026889003429542586,0.002035045948961323,0.0017949887078279744,0.0,0.0
19,32,0.0036947945235924723,0.9639744588345543,0.00019675208185773233,-0.0005109244520359744,0.0008878032606839853,0.0008546470279133439,0.0,0.0
98,259,0.0037973950184333654,2902.112058828848,-0.0021012259110534605,0.0020307997531984496,0.003766487684945864,0.002877447565415759,0.0,0.0
64,174,0.0037977280868730285,41.43687570727,0.0008584842995559214,-0.0007568673033000023,0.000918502509480758,0.0007774236013467328,0.0,0.0
78,227,0.0038155087359633636,0.1654914156902725,0.0007385074379226485,-0.0001101335166155595,0.0014396552777320311,0.0023299300792568485,0.0,0.0
79,228,0.003823746928126416,0.1654914156902725,0.00035455068365863814,0.0007282748272622486,0.0012102412645310047,0.0021836101478478415,0.0,0.0
77,224,0.0038562359277261576,0.1654914156902725,0.0006341473068920926,-6.715995389338209e-06,0.00100828487016921,0.0010879335907820148,0.0,0.0
9,11,0.0038592182288008066,8.213996583942235,-0.0031759001979324306,-0.0007554183942770212,0.004082815901650344,0.0021817825562661965,0.0,0.0
42,107,0.0038919083448085735,0.5900478737896471,7.200953417500944e-05,-6.857597237136146e-05,0.0013234748222783848,0.0015598970705774005,0.0,0.0
90,249,0.004093950408999263,1145.1811186478237,0.00046210403851612114,-0.0006465045211124723,0.0009572337371566787,0.0017746043926135527,0.0,0.0
62,149,0.004135406777594605,3.1807332117841463,0.013180641984440234,-0.0030964927542721115,0.014074656600383437,0.005198881701191155,0.00058399512623937,0.0
11,15,0.004176927329034171,8.231700418711243,-0.00023867008013349285,0.00020396887719595887,0.0024547032837741256,0.0012122598996368635,0.0,0.0
70,194,0.004203365904552865,187.61372287166563,0.007549961728300395,-0.0020580282575037843,0.019227300904508728,0.0052937944905267,0.013504352406497916,0.002492145209386898
16,29,0.00426679724665711,1.54602934168282,0.004072678533401969,-0.0003196851919262079,0.0060433714637826855,0.0026782613578458523,0.001084772425748587,0.0
54,126,0.004278887042527119,1.9006644326282585,0.000821880129858551,0.00012304136462365953,0.0017016952345295343,0.0033675945351784656,0.0,0.0
48,118,0.0043031205234169406,0.9871084952360643,-0.0007315879604224669,0.0010005486959083106,0.001025835983082706,0.0011331168266997382,0.0,0.0
65,184,0.004303654368658316,1.7741900248153955,-0.0002520557797232804,-0.000201694432210506,0.0011963607684313403,0.0006125353503205565,0.0,0.0
28,68,0.004359299782824872,0.6787572232772023,0.00022968778217852042,-0.0006370790548844463,0.00043195140512639003,0.0008447193715897228,0.0,0.0
15,28,0.004428578173476786,1.5443012994397276,0.010063305394417387,-0.005315220792460023,0.010259958300161557,0.005432800925234268,0.0,0.0
27,66,0.004449841618231413,0.6780666313245096,0.002191365480299187,-0.00213297120578611,0.002207313954194393,0.0021531130972394226,0.0,0.0
76,220,0.004487058808379364,0.1654914156902725,-0.003214363627549669,0.0020501343987653635,0.0056908030261710076,0.00662001079536337,0.0006199281218162989,0.0024341168485875198
32,73,0.004536101602529912,0.9941323455383259,-0.0007612058555580512,0.0016368358173728381,0.0014136734275492103,0.001712831335264899,0.0,0.0
0,0,0.0045467431425750045,10.396433462015908,0.005686722625318707,0.00014396047127104847,0.00670183405271041,0.0011831636884744342,0.0,0.0
17,30,0.004579493339497578,0.9640152031007146,0.0004319832433905844,-0.0011084676705111981,0.0027799153180706917,0.0015969649820798,0.0,0.0
86,243,0.004591169943470731,1145.1811186478237,1.3334766981531862e-05,0.00018467430208351617,0.00041621404517303684,0.0007090474032416038,0.0,0.0
72,196,0.004686590364543046,189.70378492182982,0.0008515831923348074,0.009006112254505204,0.002303727772911951,0.012317003475168169,0.0,0.0022474620472901184
1,3,0.0047057675277085405,10.407034654035591,-0.0007183414549566821,0.000851424373916205,0.0018657071268552785,0.0020546963095442014,0.0,0.0
21,39,0.004723222682951878,0.9664568000205872,0.0013074967742815753,-0.0007953070069917534,0.0032209429279999612,0.0013564214887466178,0.0,0.0
13,18,0.004832613252815425,8.250679455952039,0.0009319082516668084,-0.0005836183358986672,0.0021643189712830576,0.0023664046837853225,0.0,0.0
87,245,0.004909181940538663,1145.1811186478237,-0.0077685819644251145,0.0018200370604429025,0.008534759657647354,0.0023881953268089957,0.003576184140676626,0.0
40,89,0.004911139021981162,0.573331773982946,-0.001318288829474269,-0.0004998621565889346,0.002441778164683172,0.001214593698564888,0.0,0.0
82,233,0.004940006512044531,0.22482518855391456,-1.047227926155877e-05,-0.00017416284966365948,0.0007864913455446686,0.00077375644995229,0.0,0.0
18,31,0.004949645578067974,0.9640142959478027,0.00021120365523193572,-0.0010072899562899233,0.001593070576212392,0.0014883983681940362,0.0,0.0
93,252,0.004975681454187888,2902.112058828848,-0.0011992552977683098,0.0017156697783100654,0.0011992552977683098,0.0017156697783100654,0.0,0.0
35,76,0.005055645005471259,0.9952631825669703,0.0006694436658202232,-0.000619027170043929,0.0018094902686155866,0.0027882169817200716,0.0,0.0
39,83,0.005057612517683271,0.5718623456125465,-0.0021365583626809727,0.0008532177139076103,0.00259778980679052,0.0012225711911311578,0.0,0.0
3,5,0.0052250218874386805,10.41971646717945,-0.001749418357322675,0.0018023730766034887,0.002352857145023829,0.0026151510786867607,0.0,0.0
67,191,0.0053338668734030144,185.79738573999154,0.00413379556450717,0.009593808606918157,0.006500230839172543,0.013332484562514754,0.00023902720806356914,0.010746614695212799
85,241,0.00537938101356985,1145.1811186478237,-0.00665397239788183,0.0006939568192538021,0.008776966079487582,0.0018783417200482345,0.0009645018320395549,0.0
12,17,0.0054234553101019595,8.243942873321114,0.0018081947757318984,-0.003591213723723407,0.001899411506258426,0.003732244821600336,0.0,0.0
91,250,0.0054946976714601095,2902.112058828848,-0.006680969162640536,0.0034416024652672724,0.006766096510365229,0.003516505733245578,0.0,0.0
68,192,0.005523074443140985,186.225215743862,0.012719033077767042,-0.0066811850059722,0.012791869205215262,0.006978930462037575,0.010297063200361535,0.0
88,246,0.005684449025055449,1145.1811186478237,-0.0014533954915467587,0.0009984926345244836,0.0017705178878398777,0.0014255439214209643,0.0,0.0
94,253,0.005741445038819113,2902.112058828848,-0.008824979571781908,0.0035121879511751317,0.009151728390706299,0.004454728506465585,0.0,0.0
10,12,0.005796117543235677,8.217042653067352,0.00023440512571363953,-0.0002549012799493211,0.001512239970395475,0.0017036375424020144,0.0,0.0
80,230,0.005836576472142932,0.22482518855391456,0.0015110674072983414,-0.0013161868274872246,0.0015110674072983414,0.0013161868274872246,0.0,0.0
49,119,0.005891512001743047,0.9872649788478008,-0.003912266041500409,0.004415462000935867,0.00417806522743144,0.005090685876169165,0.0,0.0
55,128,0.0058972938105591515,1.9033424447983838,0.005201754056922902,-0.0014889333233329854,0.005499223977631962,0.0020113871404944077,0.0,0.0
66,190,0.006160684160070901,185.52545032205813,0.010968972274759578,0.006894821196792966,0.011392842132403424,0.010493758634746234,0.00935310445669326,0.007774873829885856
83,236,0.0061691615792747985,0.22482518855391456,0.0009039593280724757,-0.0007022289466205159,0.0009372741259883904,0.0007201177038897129,0.0,0.0
4,6,0.006326999836119625,10.426763976717282,-4.6755865485426445e-05,0.0007174147225132109,0.0022463575241083436,0.002011983521215642,0.0,0.0
61,148,0.006384563673596598,3.169802560384609,0.00027502484768974984,0.0025023314635634957,0.001200025346493683,0.004571824574026325,0.0,0.0
43,109,0.006611807801892178,0.5903144577317262,0.0035176585033332946,-0.003968585176233972,0.003570448502630539,0.0041405721445486226,0.0,0.0
92,251,0.006734624270621221,2902.112058828848,-0.003983541109120611,0.0016405968596888549,0.005762087926458766,0.0028786331300503466,9.64613435278025e-05,0.0
14,19,0.006841622020605751,8.25749761431457,-0.000131988761594437,-0.000595890724066619,0.003105066618170754,0.003901858834794037,0.00021775090410890846,0.0005751296718104881
97,258,0.007205974324053093,2902.112058828848,-0.008998295871443279,0.009431537263917081,0.009409381597951717,0.009495599053138395,0.002483620380866948,8.257244490377305e-05
45,115,0.007582373777201542,0.9864735175682844,-0.0023348095543786443,0.003041918911199729,0.0024580047476426862,0.00339217978890832,0.0,0.0
73,198,0.008234475817611248,192.5049032287796,0.0031626824539539564,-0.00491477053253554,0.004472555671166138,0.008770174155525732,0.0,0.0
59,139,0.008723333909080687,3.3013605217930193,-0.002792728940736221,0.0005810073968511375,0.004730207542644171,0.0039537897960287595,0.0,0.0
99,291,0.008732594660337293,176.61552173974928,0.009953306952212271,0.02251233420083365,0.010416344286811641,0.02828461593115901,0.006677611148911099,0.026203596175513447
34,75,0.009433619149478155,0.994870756867946,0.0005789030567974623,-0.0004908445480547346,0.0018547800787206995,0.0032975092463621808,0.0,0.0
81,231,0.00951840594471374,0.22482518855391456,0.0016396942796636912,-0.001239202059207603,0.0018908812953986197,0.0016229965131819065,0.0,0.0
74,199,0.009801669721157693,194.09809178467273,0.03781356891559156,-0.010084768493946227,0.0390426303973338,0.010084768493946227,0.03174627536997946,0.0008537939332760314
95,256,0.01017951699119879,2902.112058828848,-0.007981787410104215,0.00519912407611475,0.008016772241012852,0.005375608178068583,0.0015551272406074505,0.0
75,214,0.011400096914809855,910.3389928562458,-0.003324054598251197,0.07069627921065157,0.004657399085029815,0.07088094461182824,0.0,0.06707278476819255
30,71,0.011880188280745167,0.9934547950270894,0.0011088854657092934,-0.0010067385172221157,0.002831625253384968,0.003256829082790694,0.0,0.0
